sex,age,fare,cabin,embarked,title,survived
male,25.0,7.925,,S,Mr,0
female,41.0,134.5,E40,C,Miss,1
male,,7.7333,,Q,Mr,0
female,18.0,7.775,,S,Miss,0
male,29.0,21.0,,S,Mr,0
male,19.0,7.65,F,S,Mr,0
male,46.0,26.0,,S,Mr,0
female,,25.4667,,S,Mrs,0
male,,26.0,A19,S,Mr,0
female,36.0,135.6333,C32,C,Miss,1
male,21.0,7.75,,Q,Mr,0
male,22.0,8.05,,S,Mr,0
male,,7.8958,,S,Mr,0
female,36.0,13.0,D,S,Mrs,1
female,23.0,13.7917,D,C,Mrs,1
female,16.0,86.5,B79,S,Miss,1
female,,25.4667,,S,Miss,0
female,10.0,24.15,,S,Miss,0
male,,0.0,,S,Mr,0
female,,7.75,,Q,Miss,0
male,47.0,227.525,C62,C,Other,0
female,10.0,46.9,,S,Miss,0
female,35.0,7.75,,Q,Miss,0
male,29.0,7.8542,,S,Mr,0
male,36.0,7.8958,,S,Mr,0
male,35.0,7.125,,S,Mr,0
female,3.0,41.5792,,C,Miss,1
male,27.0,53.1,E8,S,Mr,1
female,22.0,8.9625,,S,Miss,1
male,,7.2292,,C,Mr,0
female,32.0,13.0,,S,Mrs,1
female,,7.8792,,Q,Miss,0
female,48.0,65.0,,S,Mrs,1
male,,7.75,,Q,Mr,0
female,,16.1,,S,Mrs,1
male,7.0,39.6875,,S,Master,0
male,18.0,7.7958,,S,Mr,0
male,44.0,8.05,,S,Mr,0
male,19.0,10.5,,S,Mr,0
female,30.0,7.6292,,Q,Miss,0
male,,6.4375,,C,Mr,0
male,24.0,7.4958,,S,Mr,0
female,9.0,15.2458,,C,Miss,1
male,29.0,7.0458,,S,Mr,0
female,55.0,135.6333,C32,C,Mrs,1
male,36.0,9.5,,S,Mr,0
female,,8.05,,S,Miss,0
male,29.0,7.925,,S,Mr,0
female,45.0,59.4,,C,Mrs,1
male,,25.925,,S,Mr,0
male,,7.775,,S,Mr,0
male,62.0,10.5,,S,Mr,1
male,,7.225,,C,Mr,0
female,27.0,21.0,,S,Mrs,0
male,20.0,8.6625,,S,Mr,0
female,16.0,39.4,D28,S,Miss,1
male,30.0,45.5,,S,Mr,0
female,38.0,227.525,C45,C,Miss,1
male,20.0,7.925,,S,Mr,1
male,36.0,78.85,C46,S,Mr,0
female,18.5,7.2833,,Q,Miss,0
male,19.0,13.0,,S,Mr,0
